ItemNo,Group,Type,Condition,Dialogue1,Dialogue2,Ambg,Question,Answer1,Answer2,is_Evet,ExpectedAnswer
20,2,exp_item,baseline,A: İsa bir sürü inşaat malzemesi alıyordu geçen gün nalburdan. Acaba bir planı mı var?,"B: Evet, inekleri için bir ahır inşa etmek istiyor. O yüzden malzeme almıştır.",A: İsa bir ahır inşa etmek istiyor demek. ,İsa inekleri için bir ahır inşa etmek istediğinden malzeme aldı.,Evet,Hayır,1,Evet
20,3,exp_item,wr,A: İsa'nın aldığı yeni inekleri nereye koyacağını biliyor musun?,"B: Evet. Bir mimara güzel bir ahır planı çizdirmiş, çiftlikte uygun bir yer bulup onu inşa edecek.",A: İsa bir ahır inşa etmek istiyor demek. ,İsa'nın inşa edeceği belli bir ahır var. ,Evet,Hayır,1,Evet
20,4,exp_item,nr,"A: İsa'nın işleri büyüyor. Önünde bir sürü inşaat planı varmış, içlerinden birini seçmiş. Onu inşa etmek istiyormuş.",B: Birini seçmiş mi niyahet! Elindekilerin hepsi ahır planı bu arada.,A: İsa bir ahır inşa etmek istiyor demek. ,"İsa rasgele bir ahır inşa edecek, seçtiği özel bir plan yok.",Evet,Hayır,0,Hayır
20,1,exp_item,d,A: İsa artık deneyimli bir inşaat ustası. Yeni projesi ne olacak acaba?,"B: Ahır inşa etmeyi çok istiyor, daha önce hiç ahır yapmadığından bu konuda deneyim kazanmak istiyor.",A: İsa bir ahır inşa etmek istiyor demek. ,İsa'nın inşa etmeyi planladığı özel bir ahır yok.,Evet,Hayır,1,Evet
21,1,exp_item,baseline,A: Nuray yine elişi videoları mı izliyor? Ne zaman masasının yanından geçsem ekranında elişiyle ilgili bir şeyler görüyorum.,"B: Evet, tabii ki! Bu ara bir çorap örmek istiyor.",A: Demek Nuray bir çorap örmeyi arzuluyor.,Nuray bir çorap örmek istediği için elişi videoları izliyor.,Evet,Hayır,1,Evet
21,2,exp_item,wr,"A: Nuray bir sürü ip ve tığ almış. Bir şeyler örme arzusunda, belli.","B: Evet. İnternette rengarenk bir yün çorap modeli görmüş, çok hoşuna gitmiş. Onu örmeyi istiyor.",A: Demek Nuray bir çorap örmeyi arzuluyor.,Nuray nasıl bir çorap öreceğini seçti.,Evet,Hayır,1,Evet
21,3,exp_item,nr,"A: Nuray bu ara elişine pek meraklı, her gün yeni bir fikirle uyanıyor.","B: Sorma! Şimdilerde çorap örmeyi kafasına takmış durumda. Birkaç model beğenmiş, içlerinden birini örmek istiyor.",A: Demek Nuray bir çorap örmeyi arzuluyor.,"Nuray çorap örmek istiyor, aklında herhangi bir model de yok.",Evet,Hayır,0,Hayır
21,4,exp_item,d,A: Nuray stres atmak için elişi yapacakmış.,"B: Evet, duydum. Biraz malzeme alacak, sonra da internetten çorap örmeyi öğrenecekmiş. Herhangi bir çorap örmek bana yeter diyordu.",A: Demek Nuray bir çorap örmeyi arzuluyor.,Nuray bir çorap modeli beğenmiş ve onu örmek istiyor.,Evet,Hayır,0,Hayır
22,4,exp_item,baseline,"A: Esra 'yı yine aktarda gördüm. Kim bilir neler alıyor yine... Bu ara çok fena taktı bu alternatif tıp işine.","B: Bitki çayı içmek istiyormuş, geçen gün bana öyle dedi.","A: Esra bir bitki çayı içmek istiyor yani.","Esra bir bitki çayı içmek istediği için aktardan alışveriş yapıyor.",Evet,Hayır,1,Evet
22,1,exp_item,wr,"A: Esra kendine çok güzel bir porselen demlik ve çay takımı almış. Bayıldım! Ne çayı içecek acaba onlarla?","B: Bir bitki çayı var bu ara kafasına taktığı. Ondan demlemek için almış hepsini.","A: Esra bir bitki çayı içmek istiyor yani.","Esra'nın içmek istediği özel bir bitki çayı var.",Evet,Hayır,1,Evet
22,2,exp_item,nr,"A: Esra'nın yeni ilgi alanını duydun mu? Alternatif tıp! Sürekli bitkiler hakkında bir şeyler okuyor.","B: Duymaz mıyım! Denemek istediği bitki çaylarını yazmış, içlerinden birini içecekmiş yakında.","A: Esra bir bitki çayı içmek istiyor yani.","Esra rasgele bir bitki çayı içmek istiyor, aklında herhangi bir çay yok.",Evet,Hayır,0,Hayır
22,3,exp_item,d,"A: Esra bu ara alternatif tıbba merak salmış. Çeşitli bitkilerden çay yapmak istiyormuş.","B: Evet, illa ki bir bitki çayı içmek istiyormuş. Hangi bitki olduğu önemli değilmiş!","A: Esra bir bitki çayı içmek istiyor yani.","Esra herhangi bir bitkinin çayını içmek istiyor.",Evet,Hayır,1,Evet
23,3,exp_item,baseline,"A: Turgut'un hobileri de çeşit çeşit. Bu ara doğa sporlarına ilgili anladığım kadarıyla.","B: Evet, hatta dağ tırmanışı yapmak için kendine çeşit çeşit ekipman almış. Bir görsen!","A: Turgut bir dağa tırmanmak istiyor desene!","Turgut kürek sporunu yapmak için kendine bir sürü ekipman almış.",Evet,Hayır,0,Hayır
23,4,exp_item,wr,"A: Turgut kendine bir sürü ekipman almış. Termal içlikler, dış mekan ayakkabıları, dürbün... Ne yapacak onlarla acaba?","B: Bir dağdan bahsetti de adını unuttum. Ona tırmanacakmış.","A: Turgut bir dağa tırmanmak istiyor desene!","Turgut'un tırmanmak istediği özel bir dağ var.",Evet,Hayır,1,Evet
23,1,exp_item,nr,"A: Turgut ne kadar da sportif bir insan! Sürekli bir doğa sporu yapıyor.","B: Evet! Yeni hedefi dağ tırmanışıymış. Çıkmayı düşündüğü dağları da belirlemiş. Birine kesinlikle çıkacakmış.","A: Turgut bir dağa tırmanmak istiyor desene!","Turgut listesindeki dağlardan birine tırmanmak istiyor.",Evet,Hayır,1,Evet
23,2,exp_item,d,"A: Turgut doğa sporları ile yatıp kalkıyor. Başka bir şey düşünmüyor!","B: Sorma. Dağ tırmanışına takmış bu ara. Ekipman falan almış, ilk fırsatta herhangi bir dağa tırmanmak istiyor.","A: Turgut bir dağa tırmanmak istiyor desene!","Turgut sadece Nemrut Dağı'na tırmanmak istiyor.",Evet,Hayır,0,Hayır
24,2,exp_item,baseline,"A: Lale sabahtan beri bana düğün dergileri gösteriyor. O kadar yoruldum ki…","B: Geçen gün de bana aynısını yaptı. Bir gelinlik giymek istiyor, o yüzden bütün bu tantana.","A: Demek bizim Lale bir gelinlik giymek istiyor.","Lale bir üniforma giymek istediği için düğün dergilerine bakıyor.",Evet,Hayır,0,Hayır
24,3,exp_item,wr,"A: Lale'nin elinde tüllü bir beyaz elbise gördüm. Defilede onu giymek istiyormuş.","B: Evet, çok şık bir gelinlik o gördüğün! Lale defilenin kapanışını o gelinlikle yapmak istiyor.","A: Demek bizim Lale bir gelinlik giymek istiyor.","Lale defilede giyeceği elbiseyi henüz seçmemiş.",Evet,Hayır,0,Hayır
24,4,exp_item,nr,"A: Lale bir sürü beyaz elbise fotoğrafı çekmiş. Ne için olduğunu soracaktım ama acelem vardı.","B: Gelinlik onlar! Yakında evleniyor, o fotoğraflardaki elbiselerden birini giyecek düğününde.","A: Demek bizim Lale bir gelinlik giymek istiyor.","Lale seçtiği gelinliklerden birini düğününde giymek istiyor.",Evet,Hayır,1,Evet
24,1,exp_item,d,"A: Lale bu aralar bir tuhaf! Ortada damat adayı bile yok ama düğün organizasyonu yapıyor.","B: Sorma... Yarın gelinlikçiye gidecekmiş. Eline geçen ilk gelinliği giyip çıkacakmış.","A: Demek bizim Lale bir gelinlik giymek istiyor.","Lale'nin aklında özel bir gelinlik modeli yok, herhangi bir gelinliği alacak.",Evet,Hayır,1,Evet
